sku,slug,name,group_name,size,size_label,pack_qty,unit,price,currency,manba_narx,manba_valyuta,brand,category_uz,subcategory_ru,supplier,price_date,in_stock,featured
NG-0050,troynik-75-pn16-absan-sanat,Тройник 75 PN16 Absan Sanat,Тройник,75 PN16,Размер,30/20,dona,33880,UZS,33880,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0051,troynik-90-pn16-absan-sanat,Тройник 90 PN16 Absan Sanat,Тройник,90 PN16,Размер,12,dona,38720,UZS,38720,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0052,troynik-110-absan-sanat,Тройник 110 Absan Sanat,Тройник,110,Размер,12,dona,54450,UZS,54450,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0053,troynik-160-absan-sanat,Тройник 160 Absan Sanat,Тройник,160,Размер,6,dona,145200,UZS,145200,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0054,troynik-200-absan-sanat,Тройник 200 Absan Sanat,Тройник,200,Размер,4,dona,314600,UZS,314600,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0055,troynik-250-absan-sanat,Тройник 250 Absan Sanat,Тройник,250,Размер,2,dona,544500,UZS,544500,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0056,troynik-315-absan-sanat,Тройник 315 Absan Sanat,Тройник,315,Размер,1,dona,726000,UZS,726000,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0057,perehodnik-63x50-absan-sanat,Переходник 63x50 Absan Sanat,Переходник,63x50,Размер,100,dona,18150,UZS,18150,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0058,perehodnik-75x50-absan-sanat,Переходник 75x50 Absan Sanat,Переходник,75x50,Размер,50,dona,19360,UZS,19360,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0059,perehodnik-75x63-absan-sanat,Переходник 75x63 Absan Sanat,Переходник,75x63,Размер,50,dona,16940,UZS,16940,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
